,Movie Title,Year,Duration,Genre,Rating
192,Mulan,2020,115 min,"Action, Adventure, Drama            ",5.7
193,Toy Story 4,2019,100 min,"Animation, Adventure, Comedy            ",7.7
194,The Truman Show,1998,103 min,"Comedy, Drama            ",8.1
195,La vita è bella,1997,116 min,"Comedy, Drama, Romance            ",8.6
196,The Incredibles,2004,115 min,"Animation, Action, Adventure            ",8.0
197,Beauty and the Beast,I 2017,129 min,"Adventure, Family, Fantasy            ",7.1
198,Men in Black,1997,98 min,"Action, Adventure, Comedy            ",7.3
199,Cinderella,I 2015,105 min,"Adventure, Drama, Family            ",6.9
200,El código Enigma,2014,114 min,"Biography, Drama, Thriller            ",8.0
201,Intensa Mente,I 2015,95 min,"Animation, Adventure, Comedy            ",8.1
202,Isle of Dogs,2018,101 min,"Animation, Adventure, Comedy            ",7.9
203,Mystic River,2003,138 min,"Crime, Drama, Mystery            ",7.9
204,Marriage Story,2019,137 min,"Comedy, Drama, Romance            ",7.9
205,The Hobbit: The Battle of the Five Armies,2014,144 min,"Adventure, Fantasy            ",7.4
206,Nace una estrella,2018,136 min,"Drama, Music, Romance            ",7.6
207,A Beautiful Mind,2001,135 min,"Biography, Drama            ",8.2
208,American History X,1998,119 min,Drama            ,8.5
209,Alicia en el país de las maravillas,I 2010,108 min,"Adventure, Family, Fantasy            ",6.4
210,Les Misérables,2012,158 min,"Drama, Musical, Romance            ",7.6
211,Pequeña Miss Sunshine,2006,101 min,"Comedy, Drama            ",7.8
212,A Beautiful Day in the Neighborhood,2019,109 min,"Biography, Drama            ",7.3
213,Ratatouille,2007,111 min,"Animation, Adventure, Comedy            ",8.0
214,Begin Again,II 2013,104 min,"Comedy, Drama, Music            ",7.4
215,ParaNorman,2012,92 min,"Animation, Adventure, Comedy            ",7.0
216,La guerra de las galaxias: Episodio II - El ataque de los clones,2002,142 min,"Action, Adventure, Fantasy            ",6.5
217,The Talented Mr. Ripley,1999,139 min,"Crime, Drama, Thriller            ",7.4
218,El secreto de la montaña,2005,134 min,"Drama, Romance            ",7.7
219,Harriet,I 2019,125 min,"Action, Biography, Drama            ",6.6
220,Frankenweenie,2012,87 min,"Animation, Comedy, Drama            ",6.9
221,Captain Fantastic,2016,118 min,"Comedy, Drama            ",7.9
222,Trainspotting,1996,93 min,Drama            ,8.1
223,Batman eternamente,1995,121 min,"Action, Adventure            ",5.4
224,Star Wars: Episode VII - The Force Awakens,2015,138 min,"Action, Adventure, Sci-Fi            ",7.8
225,Los juegos del destino,2012,122 min,"Comedy, Drama, Romance            ",7.7
226,Monster,2003,109 min,"Biography, Crime, Drama            ",7.3
227,Hook,1991,142 min,"Adventure, Comedy, Family            ",6.8
228,Hércules,1997,93 min,"Animation, Adventure, Comedy            ",7.3
229,Children of Men,2006,109 min,"Action, Drama, Sci-Fi            ",7.9
230,En primera plana,I 2015,129 min,"Biography, Crime, Drama            ",8.1
231,The Trial of the Chicago 7,2020,129 min,"Drama, History, Thriller            ",7.8
232,The Lion King,2019,118 min,"Animation, Adventure, Drama            ",6.8
233,Eso que tú haces,1996,108 min,"Comedy, Drama, Music            ",6.9
234,"Girl, Interrupted",1999,127 min,"Biography, Drama            ",7.3
235,Escándalo americano,2013,138 min,"Crime, Drama            ",7.2
236,El club de los desahuciados,2013,117 min,"Biography, Drama            ",8.0
237,Solo: A Star Wars Story,2018,135 min,"Action, Adventure, Sci-Fi            ",6.9
238,Shrek,2001,90 min,"Animation, Adventure, Comedy            ",7.9
239,The Blind Side,2009,129 min,"Biography, Drama, Sport            ",7.6
240,Batman regresa,1992,126 min,"Action, Crime, Fantasy            ",7.0
241,Star Trek 2,2013,132 min,"Action, Adventure, Sci-Fi            ",7.7
242,Molly's Game,2017,140 min,"Biography, Crime, Drama            ",7.4
243,El vengador del futuro,1990,113 min,"Action, Sci-Fi, Thriller            ",7.5
244,Miseria,1990,107 min,"Drama, Thriller            ",7.8
245,Richard Jewell,2019,131 min,"Biography, Crime, Drama            ",7.5
246,El padrino III,1990,162 min,"Crime, Drama            ",7.6
247,Papá por siempre,1993,125 min,"Comedy, Drama, Family            ",7.0
248,The Lovely Bones,2009,135 min,"Drama, Fantasy, Thriller            ",6.7
249,Bridesmaids,I 2011,125 min,"Comedy, Romance            ",6.8
